geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US06077,"San Joaquin County, CA",17.9,53895,15
05000US06079,"San Luis Obispo County, CA",31.5,59628,4.6
05000US06081,"San Mateo County, CA",43.9,87751,6.5
05000US06083,"Santa Barbara County, CA",31.5,62723,5
05000US06085,"Santa Clara County, CA",46.0,90747,6.1
05000US06087,"Santa Cruz County, CA",37.5,66571,9.4
05000US06089,"Shasta County, CA",19.3,44396,5.2
05000US06091,"Sierra County, CA",16.7,42500,11.5
05000US06093,"Siskiyou County, CA",23.1,37948,5.5
05000US06095,"Solano County, CA",24.2,69006,13.9
05000US06097,"Sonoma County, CA",32.1,63565,10.3
05000US06099,"Stanislaus County, CA",16.3,49866,11.2
05000US06101,"Sutter County, CA",18.4,50510,13.7
05000US06103,"Tehama County, CA",13.1,40307,6
05000US06105,"Trinity County, CA",19.7,36569,6.9
05000US06107,"Tulare County, CA",13.3,43803,6.1
05000US06109,"Tuolumne County, CA",17.4,48169,10.8
05000US06111,"Ventura County, CA",31.2,76483,8.4
05000US06113,"Yolo County, CA",38.0,57260,5.3
05000US06115,"Yuba County, CA",13.6,46641,11.3
05000US08001,"Adams County, CO",20.7,56633,7.2
05000US08003,"Alamosa County, CO",23.1,38045,2.8
05000US08005,"Arapahoe County, CO",38.5,60400,6.1
05000US08007,"Archuleta County, CO",36.1,54007,11.1
05000US08009,"Baca County, CO",17.4,39497,2
05000US08011,"Bent County, CO",8.9,36297,5.6
05000US08013,"Boulder County, CO",58.0,67403,5.2
05000US08014,"Broomfield County, CO",47.0,80483,6
05000US08015,"Chaffee County, CO",33.4,45713,3.9
05000US08017,"Cheyenne County, CO",18.6,50357,3
05000US08019,"Clear Creek County, CO",37.3,60517,12.7
05000US08021,"Conejos County, CO",20.4,32860,5.9
05000US08023,"Costilla County, CO",15.5,25309,7.3
05000US08025,"Crowley County, CO",12.1,38507,7
05000US08027,"Custer County, CO",32.5,42534,21.7
05000US08029,"Delta County, CO",18.6,42786,10.6
05000US08031,"Denver County, CO",42.2,49091,5.5
05000US08033,"Dolores County, CO",18.8,43098,4.5
05000US08035,"Douglas County, CO",54.8,101108,6.8
05000US08037,"Eagle County, CO",47.5,71030,4.5
05000US08039,"Elbert County, CO",30.1,80811,24.7
05000US08041,"El Paso County, CO",35.3,57531,4.4
05000US08043,"Fremont County, CO",15.9,40893,10.3
05000US08045,"Garfield County, CO",25.2,60215,13.5
05000US08047,"Gilpin County, CO",30.1,62286,17.8
05000US08049,"Grand County, CO",32.3,64416,6.4
05000US08051,"Gunnison County, CO",51.9,50091,1.7
05000US08053,"Hinsdale County, CO",43.7,54844,5.9
05000US08055,"Huerfano County, CO",25.3,32754,14.6
05000US08057,"Jackson County, CO",21.6,45298,8.2
05000US08059,"Jefferson County, CO",40.4,68748,5.9
05000US08061,"Kiowa County, CO",23.0,41739,4
05000US08063,"Kit Carson County, CO",14.9,42832,1.5
05000US08065,"Lake County, CO",24.1,45082,18.6
05000US08067,"La Plata County, CO",41.6,57407,4.7
05000US08069,"Larimer County, CO",43.5,57927,6.5
05000US08071,"Las Animas County, CO",17.1,41623,7.1
05000US08073,"Lincoln County, CO",15.8,43807,7
05000US08075,"Logan County, CO",15.7,41369,4.4
05000US08077,"Mesa County, CO",25.1,51029,8
05000US08079,"Mineral County, CO",38.1,52750,1
05000US08081,"Moffat County, CO",14.4,51008,10.5
05000US08083,"Montezuma County, CO",27.2,44102,8.8
